,VENUE,H_TEAM,LAT,LNG,LOCATION,CAPACITY
19,KCOM Stadium,Hull,53.7459183,-0.3680605,"Kingston upon Hull, Kingston upon Hull, England, United Kingdom",25400
20,King Power Stadium,Leicester,52.6203662,-1.1421895,"Leicester, England, United Kingdom",32261
21,Kiyan Prince Foundation Stadium,QPR,51.5092577,-0.232207,"Greater London, England, United Kingdom",18439
22,Liberty Stadium,Swansea,51.64287635900157,-3.934542578722157,"Plasmarl, Swansea SA1 2FA, United Kingdom",21088
23,Loftus Road,QPR,51.5092577,-0.232207,"Greater London, England, United Kingdom",18439
24,Loftus Road Stadium,QPR,51.5092577,-0.232207,"Greater London, England, United Kingdom",18439
25,London Stadium,West Ham,51.5387095,-0.0166037,"Greater London, England, United Kingdom",62500
26,Madejski Stadium,Reading,51.42239319999999,-0.9826326,"Berkshire, England, United Kingdom",24161
27,Molineux,Wolves,52.5902362,-2.1304288,"West Midlands, England, United Kingdom",32050
28,Molineux Stadium,Wolves,52.5902362,-2.1304288,"West Midlands, England, United Kingdom",32050
29,Old Trafford,Man Utd,53.4630589,-2.2913401,"Old Trafford, Stretford, Greater Manchester, England, United Kingdom",74310
30,Reebok Stadium,Bolton,53.5813723,-2.5369749,"Horwich, Greater Manchester, England, United Kingdom",28723
31,Riverside Stadium,Middlesbrough,54.5779685,-1.2181654,"Middlesbrough, England, United Kingdom",34742
32,Selhurst Park,Crystal Palace,51.39797429999999,-0.0860576,"Greater London, England, United Kingdom",25486
33,Sports Direct Arena,Newcastle,54.975556,-1.621667,"Tyne and Wear, England, United Kingdom",52305
34,St Andrews,Birmingham,52.47573169366324,-1.868011437140616,"Cattell Rd, Birmingham B9 4RL, United Kingdom",29409
35,St James' Park,Newcastle,54.975556,-1.621667,"Tyne and Wear, England, United Kingdom",52305
36,St. Andrew's Stadium,Birmingham,52.4757188,-1.8681831,"West Midlands, England, United Kingdom",29409
37,St. James' Park,Newcastle,54.975556,-1.621667,"Tyne and Wear, England, United Kingdom",52305
38,St. Mary's Stadium,Southampton,50.9058106,-1.3901028,"Southampton, England, United Kingdom",32384
39,Stadium of Light,Sunderland,54.914561,-1.388371,"Monkwearmouth, Tyne and Wear, England, United Kingdom",49000
40,Stamford Bridge,Chelsea,51.4816696389695,-0.1908599403552144,"Fulham Rd., London SW6 1HS, United Kingdom",41837
41,The Friends Provident St Mary's Stadium,Southampton,50.9058106,-1.3901028,"Southampton, England, United Kingdom",32384
42,The Hawthorns,West Brom,52.50990909999999,-1.9639585,"West Midlands, England, United Kingdom",26688
43,The KC Stadium,Hull,53.7459183,-0.3680605,"Kingston upon Hull, Kingston upon Hull, England, United Kingdom",25400
44,The Kingston Communications Stadium,Hull,53.7459183,-0.3680605,"Kingston upon Hull, Kingston upon Hull, England, United Kingdom",25400
45,Tottenham Hotspur Stadium,Tottenham,51.60423220000001,-0.0662152,"Greater London, England, United Kingdom",62850
46,Turf Moor,Burnley,53.7886839,-2.2303478,"Lancashire, England, United Kingdom",21944
47,Upton Park,West Ham,51.53195669999999,0.0394024,"Greater London, England, United Kingdom",35016
48,Vicarage Road,Watford,51.6498879,-0.4015015,"Hertfordshire, England, United Kingdom",22200
49,Villa Park,Aston Villa,52.509157369862194,-1.8848149846817563,"Trinity Rd, Birmingham B6 6HE, United Kingdom",42682
50,Vitality Stadium,Bournemouth,50.7348316,-1.8390783,"Boscombe, Dorset, England, United Kingdom",11364
51,Wembley Stadium,Tottenham,51.55602469999999,-0.2796177,"Greater London, England, United Kingdom",90000
52,White Hart Lane,Tottenham,51.6032123,-0.0657389,"Greater London, England, United Kingdom",36284
53,bet365 Stadium,Stoke,52.9882849,-2.176096,"Stoke-on-Trent, England, United Kingdom",30089
